Id,Action
1,0.7012672581743413
2,0.9820037088665865
3,0.9862660558804535
4,0.9912477717369231
5,0.9941215782856536
6,0.9915389808154788
7,0.9904150887218381
8,0.9945275344999362
9,0.7420161243008712
10,0.9894778039552409
11,0.9848441060595492
12,0.9829500524553595
13,0.9777266015957484
14,0.9259170952972148
15,0.9751155533217487
16,0.9675952069909188
17,0.9123806832837831
18,0.9905909941565054
19,0.9957361344129794
20,0.9862761353764492
21,0.9947341967346041
22,0.9980682431197964
23,0.9846374414086845
24,0.9841836392084441
25,0.997502819735989
26,0.9789956039912856
27,0.9560204351999584
28,0.9927836533887192
29,0.9941711851212264
30,0.9144057804140565
31,0.9945794887344532
32,0.9883246142123896
33,0.9789061433705525
34,0.9824839559892317
35,0.9941692577849108
36,0.9907672675894988
37,0.9653365688507377
38,0.9934484398756065
39,0.9598722237254683
40,0.9411179543380905
41,0.9849517116586557
42,0.9949678818116002
43,0.9805253706653618
44,0.9924496431839497
45,0.9836902261093486
46,0.9866253265842595
47,0.993468184368
48,0.9768398350319333
49,0.9980001944619754
50,0.9916447627627367
51,0.9946542189702218
52,0.9854638231656173
53,0.9878620450486709
54,0.9953981038337596
55,0.9753705834348646
56,0.9902857571025819
57,0.9867885012421709
58,0.9949664197489483
59,0.9953684552343696
60,0.9942338291125908
61,0.9966118721212904
62,0.9950222563251876
63,0.9848266165841856
64,0.9879569696262666
65,0.9961477777046647
66,0.9946953636429561
67,0.9799187890475932
68,0.993635613585705
69,0.9223006442039966
70,0.49239150408819
71,0.9901628388171331
72,0.9825853202462032
73,0.9888603756331227
74,0.994787481097892
75,0.9951414651534601
76,0.9917603059059605
77,0.9913149930256372
78,0.9610529441327968
79,0.7843861109052587
80,0.9946668885986515
81,0.9875795936921098
82,0.9917799358501775
83,0.9884745943837862
84,0.9942754566043113
85,0.9937432169850283
86,0.9793436103834686
87,0.9899703765156402
88,0.9933230469174784
89,0.9959680073895113
90,0.8175659864800943
91,0.9773071673147691
92,0.9823521582246898
93,0.9918556370558034
94,0.9822238155164641
95,0.9944560390283884
96,0.9881541262342955
97,0.5197615403198705
98,0.956156977282289
99,0.9854053343456977
